smiles,h298
O=CN1CC12CCC(=O)C2=O,-48.511
N#CCC(O)C1OCC1C#N,6.229000000000008
CC1OC(=O)OCC1NC=N,-103.06
C#Cc1c(N)cnc(C)c1C,65.727
N=c1[nH]c(=O)[nH]n1CCN,-25.997
CCN(CC)C1(CO)CCC1,-47.29599999999999
CCOC1(OC)CCCC1=O,-129.1
NC12CCOC1OC1CCC12,-28.486
CN1CCC2CC2(CN)C1=O,2.212
C#CC#CC1CC(CO)C1O,-8.453999999999994
OCC1OC2COC1CC2O,-115.96699999999998
C#CCC1C(CO)CCN1C,35.74300000000001
C#CC(C(=N)NC)C1OC1C,53.388000000000005
CC1C2C3C(O)C4C2C4(C)C13,51.68000000000001
CC(O)C1(C2(C)CCO2)CN1,-40.30799999999999
Nc1cnoc(=O)c1CO,-59.072
CC1=CC2(O)CC1(C(C)N)C2,8.17900000000001
O=CC12CC3C4NC1C(O2)C34,49.418
CN1C=NC2C(=O)CC21CO,-3.550999999999995
CC1(C(N)CO)CCC1CN,-31.593999999999998
NC1CCC2CNCC1C2N,42.626000000000005
CC1(C)C2CC=CCCC21O,-9.586999999999993
CC1C(O)CCC12NCC2O,-43.76399999999999
NC1CC12CC1NCC1O2,37.896
CC=Cc1ccccn1,15.218000000000002
CCN1CC(C)(C=CCO)C1,-21.81399999999999
Cc1nn2c(c1O)OC(=O)C2,-69.04400000000001
CCN(C)c1cc(N)no1,9.407999999999994
O=C1CN(c2c[nH]c(=O)[nH]2)C1,-15.979
OC1CCC2(C3CO3)CN2C1,-3.7149999999999856
CC1CNC1C#CCC(=O)O,-18.498999999999995
CC=CCC(N)C(=NC)NC,-1.7739999999999974
OC12CN3CCCC1C=CC32,43.67700000000001
CCOC1C=CCC(CC)O1,-98.07
CC1NC1C(C)(N)C#CCO,37.54300000000001
CCNCC(=O)C(=O)C(C)=O,-116.601
CC12C=CC(CC(=O)O)C1O2,-75.942
N=C1CC2OC2C2OCC2N1,12.089
CC(C)C=CC(C)OC(N)=O,-117.643
CC1NC(C2CN2)C1CCO,1.6310000000000002
CC12CC(O)C1CC1CC1C2,5.957000000000004
CC1CC(C)(NCCN)C1,-4.383000000000001
CCNCC12CC1CNC2=N,53.395
CNC(=O)C=C1CCC(N)C1,-30.769000000000005
NCC12CC3CC3NCC1C2,65.262
CC(C)(CN)C(=O)OCCO,-144.26
